Name,Sign,Ascendant
Sophia Loren,Virgo,Capricorn
Bernie Sanders,Virgo,Scorpio
Richard Gere,Virgo,Capricorn
Cameron Diaz,Virgo,Cancer
Leonard Cohen,Virgo,Virgo
Jennifer Tilly,Virgo,Cancer
Amy Poehler,Virgo,Aquarius
Joan Jett,Virgo,Capricorn
Jennifer Coolidge,Virgo,Scorpio
Rose McGowan,Virgo,Gemini
Zendaya,Virgo,Aquarius
Amy Winehouse,Virgo,Gemini
