Name,Ascendant
Johnny Lewis,Cancer
Randy Newman,Cancer
Michael Phelps,Cancer
Fernando Torres,Cancer
Douglas Adams,Cancer
Elbert Hubbard,Cancer
Chord Overstreet,Cancer
David Niven,Cancer
Eleanor Parker,Cancer
George C. Scott,Cancer
Glenda Jackson,Cancer
Hedy Lamarr,Cancer
Jane Russell,Cancer
Nathalie Baye,Cancer
Peter Ustinov,Cancer
Tony Curtis,Cancer
Tuesday Weld,Cancer
Michael Richards,Cancer
Justin Kirk,Cancer
Jamie Luner,Cancer
Eva Gabor,Cancer
Michel Gondry,Cancer
Mikael Persbrandt,Cancer
Akira Kurosawa,Cancer
Karen Black,Cancer
Carmen Carrera,Cancer
Jason Mantzoukas,Cancer
Amy Irving,Cancer
Mélanie Laurent,Cancer
Rod McKuen,Cancer
Joni Mitchell,Cancer
George Wallace,Cancer
Mort Sahl,Cancer
Desi Arnaz,Cancer
Jayne Meadows,Cancer
Sharon Tate,Cancer
Arlene Dahl,Cancer
Dave Brubeck,Cancer
Zach Roerig,Cancer
Oliver North,Cancer
Nina Foch,Cancer
Henry Mancini,Cancer
Barbara Bach,Cancer
Babe Ruth,Cancer
Martine McCutcheon,Cancer
Bryan Brown,Cancer
Mike Heron,Cancer
Karen Carpenter,Cancer
Debbie Gibson,Cancer
Jill Scott,Cancer
Wynonna Judd,Cancer
Delta Goodrem,Cancer
Keyshia Cole,Cancer
Bob Seger,Cancer
Hank Williams,Cancer
Brad Delp,Cancer
Burton Cummings,Cancer
Dan Fogelberg,Cancer
Nick Drake,Cancer
Florence Ballard,Cancer
Anthony Burgess,Cancer
Octavia E. Butler,Cancer
Christopher Isherwood,Cancer
Edmund White,Cancer
Ron Reagan,Cancer
Robert Reed,Cancer
Carla Bruni,Cancer
Brian Posehn,Cancer
Shayne Ward,Cancer
Dan Harmon,Cancer
Laird Hamilton,Cancer
Joe Piscopo,Cancer
Alan Thicke,Cancer
Norman Bridwell,Cancer
Biz Stone,Cancer
Drew Pinsky,Cancer
Sharon Gannon,Cancer
Hugo Chávez,Cancer
Bob Denver,Cancer
Patrick Juvet,Cancer
The Weeknd,Cancer
Ella Henderson,Cancer
Keith Urban,Cancer
Michel Legrand,Cancer
Marisa Berenson,Cancer
Jean-Patrick Nazon,Cancer
Claudia Pandolfi,Cancer
Jennifer Garner,Cancer
Gary Oldman,Cancer
Luigi Lo Cascio,Cancer
Ottmar Hitzfeld,Cancer
Anne Archer,Cancer
Marcia Gay Harden,Cancer
Ursula Andress,Cancer
Mariah Carey,Cancer
Aimee Garcia,Cancer
Jean Reno,Cancer
David Hasselhoff,Cancer
Albert Einstein,Cancer
Joan Didion,Cancer
Jilly Cooper,Cancer
Jorge Luis Borges,Cancer
Tom Bergeron,Cancer
Thomas Piketty,Cancer
Thibaut Pinot,Cancer
Charlie Rose,Cancer
Gabriele Salvatores,Cancer
Alison Steadman,Cancer
Gloria Trevi,Cancer
Georgia May Jagger,Cancer
Rachel Maddow,Cancer
Roberto Vittori,Cancer
Fritz Walter,Cancer
Malcolm-Jamal Warner,Cancer
Eric Washington,Cancer
Dennis Weaver,Cancer
Vanna White,Cancer
Shirley Williams,Cancer
Marc Wilmots,Cancer
Adrian Zmed,Cancer
Pierre Alechinsky,Cancer
Michel Barnier,Cancer
Patricia Barbizet,Cancer
Ian Bannen,Cancer
Pierre Balmain,Cancer
Seve Ballesteros,Cancer
Janet Baker,Cancer
Captain Beefheart,Cancer
Claude Bartolone,Cancer
Richard Benjamin,Cancer
Joan Bennett,Cancer
Xavier Bertrand,Cancer
Cilla Black,Cancer
Patricia Blair,Cancer
Doc Blanchard,Cancer
Sally Blane,Cancer
Ann Blyth,Cancer
Melvyn Bragg,Cancer
Ronnie Browne,Cancer
Patrick Bruel,Cancer
Christophe Capelle,Cancer
Leos Carax,Cancer
Simon Callow,Cancer
Francis Cabrel,Cancer
Dixie Carter,Cancer
Caterina Caselli,Cancer
Michael Chang,Cancer
Alain Chamfort,Cancer
Gustavo Cerati,Cancer
Camille Cerf,Cancer
Joan Caulfield,Cancer
Fred Chichin,Cancer
"Princess Elisabeth, Duchess of Brabant",Cancer
Finn Wittrock,Cancer
Taylor Armstrong,Cancer
Eileen Davidson,Cancer
Gene Roddenberry,Cancer
Rob Huebel,Cancer
Mike Posner,Cancer
Dick York,Cancer
Donald Trump Jr.,Cancer
Michael Jordan,Cancer
Chrissy Teigen,Cancer
William Shakespeare,Cancer
Guglielmo Marconi,Cancer
Hasan Minhaj,Cancer
Jemima Kirke,Cancer
Alessandro Nivola,Cancer
Fiorella Mannoia,Cancer
Alessandra Amoroso,Cancer
Greg Sestero,Cancer
Vanessa Williams,Cancer
